iter	Logloss
0	0.6884513161
1	0.684461552
2	0.6801632413
3	0.6759259241
4	0.6720573425
5	0.6685208338
6	0.6651598705
7	0.6623480086
8	0.6599667566
9	0.6571819513
10	0.6549200301
11	0.6526624784
12	0.6507396143
13	0.6488714183
14	0.6472403856
15	0.6455739177
16	0.6441777108
17	0.642610439
18	0.6412575254
19	0.6395459123
20	0.6383493042
21	0.6373044101
22	0.6360941661
23	0.6348742052
24	0.6337081077
25	0.6327227436
26	0.6316702548
27	0.6307404397
28	0.6298066087
29	0.6287903179
30	0.6280763175
31	0.6272419115
32	0.6264126864
33	0.6255338842
34	0.6248189683
35	0.6239681799
36	0.6231031799
37	0.6225553963
38	0.622088734
39	0.6213705583
40	0.6207578139
41	0.619983902
42	0.6193763802
43	0.6188196009
44	0.6182943934
45	0.6177334317
46	0.6172590082
47	0.6167406602
48	0.6162050629
49	0.615621754
50	0.6150677629
51	0.6146905726
52	0.6142385934
53	0.6138694
54	0.6133413211
55	0.6128840498
56	0.6124551738
57	0.6121609705
58	0.6116828988
59	0.6111411355
60	0.6107416465
61	0.6104059601
62	0.6101121382
63	0.6097992151
64	0.609357924
65	0.6088956243
66	0.6084497695
67	0.6080648457
68	0.6077006461
69	0.6072861966
70	0.6069057048
71	0.6066099964
72	0.6062820989
73	0.6059966209
74	0.6055688754
75	0.6052941201
76	0.6049713065
77	0.6045102206
78	0.6041353538
79	0.6038449235
80	0.6036511785
81	0.6032975977
82	0.6029323925
83	0.6026775013
84	0.6023603474
85	0.6019262973
86	0.6016819139
87	0.6013907415
88	0.6011092307
89	0.6006591311
90	0.6003289448
91	0.6000664382
92	0.5998651123
93	0.5995825542
94	0.5993569738
95	0.5990606689
96	0.5987303994
97	0.5984222135
98	0.5980867837
99	0.5978087408
100	0.5975371066
101	0.5972493466
102	0.5970551716
103	0.5967233346
104	0.5964383698
105	0.5962150366
106	0.5959993813
107	0.5956384902
108	0.5953342091
109	0.5951552374
110	0.5949476207
111	0.5946756675
112	0.5944275527
113	0.5941304224
114	0.5939003684
115	0.5937043485
116	0.5934956915
117	0.5931752292
118	0.5929669398
119	0.5926459989
120	0.5923905529
121	0.5921109009
122	0.5918583194
123	0.5915988645
124	0.5914111814
125	0.5911836312
126	0.5909199801
127	0.5906788774
128	0.5905395924
129	0.5903618552
130	0.5902011039
131	0.5898978563
132	0.5895350786
133	0.5892877405
134	0.5890732991
135	0.5888777854
136	0.5886267575
137	0.5883608038
138	0.588117003
139	0.5878612102
140	0.5876804907
141	0.5874427657
142	0.5872077664
143	0.5870267556
144	0.5868012099
145	0.5866588731
146	0.5863943412
147	0.5862632058
148	0.5860333252
149	0.5858030909
150	0.585607924
151	0.5852855821
152	0.585079207
153	0.5847719921
154	0.584624717
155	0.5842981859
156	0.5841638253
157	0.5838415389
158	0.5835567058
159	0.5832379081
160	0.58303704
161	0.5827783689
162	0.5826524353
163	0.5823984736
164	0.5821722481
165	0.5819228155
166	0.5816585402
167	0.5814752821
168	0.5813062911
169	0.5811613048
170	0.5809898931
171	0.5808259791
172	0.5805554199
173	0.5804029083
174	0.5802808588
175	0.5800200168
176	0.5798696206
177	0.5796769784
178	0.5795140353
179	0.5793250552
180	0.5791493294
181	0.5789177912
182	0.5787935638
183	0.5785270483
184	0.578353653
185	0.5781260126
186	0.5777450215
187	0.5775024761
188	0.5773616236
189	0.5771777482
190	0.5769473544
191	0.5768209978
192	0.5765252477
193	0.5762186501
194	0.5760197241
195	0.575822421
196	0.5756019037
197	0.5754775932
198	0.5752354917
199	0.5751151068
200	0.5748732827
201	0.5746720609
202	0.5745255834
203	0.5743597898
204	0.5741226404
205	0.5739117154
206	0.5736901509
207	0.5735546528
208	0.5732728091
209	0.5731031244
210	0.5728698661
211	0.5727287431
212	0.5725633725
213	0.5723614086
214	0.5721730458
215	0.5720441229
216	0.5718836698
217	0.5716379062
218	0.5714585668
219	0.5713464217
220	0.571166902
221	0.5710625111
222	0.5708437278
223	0.5706205125
224	0.5704853058
225	0.5703210449
226	0.5702186376
227	0.5699746912
228	0.5698162148
229	0.5696562334
230	0.5694341833
231	0.5691832733
232	0.5689611678
233	0.5687303092
234	0.5684613731
235	0.5683290724
236	0.5682111636
237	0.5679860965
238	0.5678780018
239	0.5677343403
240	0.567487793
241	0.567347856
242	0.5672299541
243	0.5670242864
244	0.5669552057
245	0.5666616336
246	0.5664825925
247	0.5662672078
248	0.5661072124
249	0.5657593328
250	0.5655766643
251	0.5653043296
252	0.5651259474
253	0.5649368217
254	0.5648142242
255	0.5645919384
256	0.5644636119
257	0.5643392667
258	0.5641984142
259	0.5640128396
260	0.5638166324
261	0.563646483
262	0.5634903856
263	0.5633397883
264	0.5631680437
265	0.5630149009
266	0.5627744917
267	0.5625983845
268	0.5624196001
269	0.5622994302
270	0.5621102212
271	0.5619689248
272	0.5618138539
273	0.5616470753
274	0.5613746851
275	0.5612138228
276	0.5610360648
277	0.5608578491
278	0.5606949269
279	0.5605050937
280	0.5602755113
281	0.5600689073
282	0.559876064
283	0.5596186621
284	0.5593950584
285	0.5592196517
286	0.5590225844
287	0.5588597315
288	0.5587502566
289	0.558554091
290	0.5583372983
291	0.5581072027
292	0.5578834603
293	0.5576729306
294	0.5574168604
295	0.5571981257
296	0.5569670313
297	0.55679709
298	0.5565786535
299	0.5564299774
300	0.5562338604
301	0.5560435
302	0.5558140009
303	0.5555509671
304	0.5553285633
305	0.5551156686
306	0.5548999301
307	0.5547257094
308	0.5545396423
309	0.5543883931
310	0.5542408891
311	0.5539791315
312	0.5538345268
313	0.5536714727
314	0.5535126565
315	0.5532795646
316	0.5531033256
317	0.5529008553
318	0.5527093645
319	0.5524530931
320	0.552268538
321	0.5520973969
322	0.5519345023
323	0.5517994135
324	0.5515866782
325	0.5513749279
326	0.5511678384
327	0.5509401217
328	0.5506604906
329	0.550439793
330	0.5502428783
331	0.5500337219
332	0.5498246002
333	0.5495968073
334	0.5492342377
335	0.5490596078
336	0.5488601823
337	0.5487746984
338	0.5486053744
339	0.5484077523
340	0.5482213176
341	0.5480233002
342	0.5478630759
343	0.5476720706
344	0.5474454984
345	0.5472475295
346	0.5470919176
347	0.5468805487
348	0.5466864083
349	0.5465437248
350	0.5464258298
351	0.5461681019
352	0.5459073361
353	0.545594316
354	0.545430395
355	0.5452122844
356	0.5450095992
357	0.544784539
358	0.5445434015
359	0.5443239455
360	0.5440633115
361	0.5439171808
362	0.5437109583
363	0.543505256
364	0.5432896285
365	0.5430821089
366	0.5427536912
367	0.5425964217
368	0.5424410525
369	0.5422914817
370	0.542127533
371	0.541894774
372	0.5416871643
373	0.5415242004
374	0.5413596483
375	0.5411107635
376	0.5408702989
377	0.5406980549
378	0.540503866
379	0.5402639632
380	0.5401224726
381	0.5398964761
382	0.5396653262
383	0.5394530348
384	0.5392754225
385	0.5390420948
386	0.5388428497
387	0.5386959076
388	0.5385089389
389	0.5384165261
390	0.5382890528
391	0.5381065369
392	0.5379577567
393	0.5376723203
394	0.5374369812
395	0.5370454199
396	0.5368708316
397	0.5367070146
398	0.5365013816
399	0.5362912681
400	0.5361517819
401	0.5359488192
402	0.5358268391
403	0.5356283292
404	0.5354292575
405	0.535139611
406	0.5349359062
407	0.5347596394
408	0.5346156519
409	0.5344958843
410	0.534321726
411	0.5341964306
412	0.5340547527
413	0.5338951735
414	0.5336151262
415	0.5333045335
416	0.5330490043
417	0.5328382319
418	0.5326992035
419	0.5325149605
420	0.5322045482
421	0.5319750977
422	0.5317897172
423	0.5316413602
424	0.5315107311
425	0.5312738523
426	0.5310956643
427	0.5309247242
428	0.5307235787
429	0.5305675853
430	0.5303555783
431	0.5301101199
432	0.5299521013
433	0.5298228316
434	0.5296634952
435	0.5294365831
436	0.5292290497
437	0.5290336748
438	0.5288297965
439	0.5286841653
440	0.5285150979
441	0.528293242
442	0.5280810269
443	0.5279165441
444	0.5277669803
445	0.5275758917
446	0.5274511303
447	0.52725244
448	0.5271364802
449	0.5269532776
450	0.5267713235
451	0.5265896676
452	0.5264135049
453	0.5262256414
454	0.526103044
455	0.5259458507
456	0.5258062259
457	0.5256746882
458	0.5255216841
459	0.5253133808
460	0.5251042383
461	0.5249597168
462	0.524792425
463	0.5246343855
464	0.524468252
465	0.5242856667
466	0.5241558214
467	0.5240068401
468	0.5238345198
469	0.5236770352
470	0.5235739829
471	0.5234055051
472	0.5231414309
473	0.5230061132
474	0.5228582348
475	0.5227010276
476	0.5225112499
477	0.5223100003
478	0.5220404746
479	0.5218765606
480	0.5216710732
481	0.5215321142
482	0.5213919275
483	0.5212029821
484	0.5210768405
485	0.5208552274
486	0.5207169411
487	0.5205162187
488	0.5203621604
489	0.5202215576
490	0.520075857
491	0.5199038766
492	0.5197452684
493	0.5195657626
494	0.5194147561
495	0.5192514524
496	0.5190736875
497	0.5189370866
498	0.5188006453
499	0.5185548609
500	0.5183181347
501	0.5181119052
502	0.5178649833
503	0.5176294361
504	0.5175070537
