iter	Passed	Remaining
418	2416	3350
419	2421	3343
420	2426	3336
421	2431	3329
422	2436	3323
423	2441	3316
424	2446	3309
425	2451	3303
426	2456	3296
427	2461	3289
428	2466	3283
429	2471	3276
430	2477	3270
431	2481	3263
432	2486	3255
433	2492	3250
434	2497	3244
435	2502	3237
436	2507	3231
437	2512	3223
438	2517	3216
439	2521	3209
440	2526	3203
441	2531	3195
442	2536	3189
443	2541	3183
444	2546	3176
445	2551	3169
446	2557	3163
447	2561	3156
448	2566	3149
449	2571	3143
450	2576	3136
451	2581	3130
452	2587	3123
453	2591	3116
454	2596	3110
455	2603	3105
456	2607	3098
457	2612	3091
458	2618	3085
459	2622	3078
460	2627	3072
461	2632	3066
462	2637	3059
463	2642	3052
464	2648	3046
465	2652	3039
466	2657	3033
467	2662	3026
468	2667	3019
469	2672	3013
470	2677	3006
471	2681	2999
472	2686	2993
473	2691	2987
474	2697	2981
475	2703	2975
476	2708	2969
477	2714	2964
478	2719	2957
479	2724	2951
480	2730	2945
481	2735	2939
482	2740	2933
483	2746	2928
484	2751	2922
485	2756	2915
486	2763	2910
487	2768	2904
488	2773	2898
489	2780	2893
490	2785	2888
491	2792	2883
492	2798	2878
493	2804	2872
494	2810	2867
495	2815	2861
496	2822	2856
497	2827	2850
498	2833	2844
499	2839	2839
500	2845	2833
501	2850	2827
502	2855	2821
503	2860	2814
504	2864	2808
505	2869	2801
506	2874	2794
507	2879	2788
508	2884	2782
509	2889	2775
510	2893	2769
511	2898	2762
512	2903	2756
513	2908	2750
514	2913	2743
515	2918	2737
516	2923	2731
517	2928	2725
518	2933	2718
519	2939	2713
520	2945	2707
521	2951	2702
522	2956	2696
523	2960	2689
524	2966	2684
525	2971	2677
526	2977	2672
527	2983	2666
528	2988	2660
529	2994	2655
530	3000	2650
531	3005	2643
532	3009	2636
533	3015	2631
534	3019	2624
535	3024	2618
536	3030	2613
537	3035	2606
538	3040	2600
539	3046	2594
540	3051	2588
541	3056	2582
542	3061	2576
543	3067	2571
544	3074	2566
545	3080	2561
546	3085	2555
547	3091	2549
548	3097	2544
549	3104	2539
550	3110	2534
551	3117	2529
552	3122	2523
553	3128	2518
554	3134	2512
555	3139	2507
556	3145	2501
557	3150	2495
558	3156	2490
559	3161	2483
560	3166	2477
561	3170	2471
562	3176	2465
563	3180	2459
564	3185	2452
565	3191	2446
566	3195	2440
567	3200	2433
568	3205	2428
569	3210	2422
570	3215	2415
571	3221	2410
572	3225	2403
573	3230	2397
574	3236	2391
575	3240	2385
576	3245	2378
577	3250	2373
578	3255	2367
579	3260	2360
580	3265	2354
581	3272	2350
582	3276	2343
583	3281	2337
584	3286	2331
585	3291	2325
586	3296	2319
587	3301	2313
588	3306	2307
589	3312	2301
590	3318	2296
591	3324	2291
592	3329	2285
593	3334	2278
594	3338	2272
595	3343	2266
596	3348	2260
597	3353	2254
598	3358	2248
599	3364	2242
600	3369	2236
601	3374	2230
602	3380	2225
603	3385	2219
604	3390	2213
605	3396	2208
606	3401	2202
607	3406	2196
608	3412	2190
609	3417	2185
610	3422	2179
611	3428	2173
612	3433	2167
613	3438	2161
614	3444	2156
615	3449	2150
616	3454	2144
617	3460	2139
618	3465	2133
619	3470	2127
620	3476	2121
621	3481	2115
622	3486	2109
623	3492	2104
624	3497	2098
625	3503	2092
626	3508	2087
627	3513	2081
628	3517	2074
629	3523	2069
630	3527	2062
631	3533	2057
632	3538	2051
633	3542	2045
634	3547	2038
635	3551	2032
636	3556	2026
637	3561	2020
638	3566	2014
639	3571	2008
640	3575	2002
641	3580	1996
642	3585	1990
643	3591	1985
644	3596	1979
645	3601	1973
646	3606	1967
647	3611	1961
648	3616	1955
649	3621	1949
650	3625	1943
651	3630	1937
652	3635	1932
653	3640	1926
654	3645	1920
655	3650	1914
656	3655	1908
657	3660	1902
658	3666	1897
659	3670	1891
660	3676	1885
661	3681	1879
662	3685	1873
663	3690	1867
664	3695	1861
665	3700	1855
666	3705	1849
667	3710	1844
668	3715	1838
669	3719	1832
670	3724	1826
671	3729	1820
672	3734	1814
673	3739	1808
674	3744	1802
675	3748	1796
676	3754	1791
677	3759	1785
678	3764	1779
679	3769	1773
680	3774	1768
681	3779	1762
682	3784	1756
683	3788	1750
684	3793	1744
685	3798	1738
686	3803	1732
687	3808	1727
688	3814	1721
689	3819	1715
690	3825	1710
691	3830	1704
692	3835	1698
693	3840	1693
694	3846	1687
695	3851	1682
696	3857	1676
697	3862	1671
698	3867	1665
699	3872	1659
700	3877	1653
701	3883	1648
702	3889	1643
703	3894	1637
704	3900	1631
705	3905	1626
706	3911	1620
707	3918	1616
708	3923	1610
709	3929	1605
710	3935	1599
711	3940	1594
712	3946	1588
713	3952	1583
714	3957	1577
715	3962	1571
716	3968	1566
717	3972	1560
718	3977	1554
719	3982	1548
720	3986	1542
721	3991	1536
722	3996	1531
723	4000	1525
724	4006	1519
725	4011	1513
726	4015	1508
727	4020	1502
728	4025	1496
729	4029	1490
730	4034	1484
731	4039	1478
732	4044	1473
733	4049	1467
734	4054	1461
735	4058	1455
736	4064	1450
737	4068	1444
738	4073	1438
739	4078	1433
740	4083	1427
741	4088	1421
742	4094	1416
743	4099	1410
744	4103	1404
745	4109	1399
746	4113	1393
747	4118	1387
748	4123	1381
749	4128	1376
750	4133	1370
751	4138	1364
752	4144	1359
753	4148	1353
754	4153	1347
755	4159	1342
756	4163	1336
757	4168	1330
758	4173	1325
759	4177	1319
760	4183	1313
761	4187	1307
762	4192	1302
763	4197	1296
764	4202	1290
765	4206	1285
766	4211	1279
767	4216	1273
768	4221	1268
769	4226	1262
770	4231	1256
771	4236	1251
772	4241	1245
773	4245	1239
774	4250	1234
775	4256	1228
776	4261	1222
777	4266	1217
778	4272	1212
779	4278	1206
780	4283	1201
781	4287	1195
782	4292	1189
783	4296	1183
784	4302	1178
785	4307	1172
786	4311	1167
787	4317	1161
788	4321	1155
789	4326	1150
790	4331	1144
791	4336	1138
792	4340	1133
793	4345	1127
794	4350	1121
795	4354	1116
796	4359	1110
797	4364	1104
798	4369	1099
799	4374	1093
800	4379	1087
801	4383	1082
802	4388	1076
803	4393	1071
804	4398	1065
805	4403	1059
806	4408	1054
807	4413	1048
808	4418	1043
809	4423	1037
810	4428	1032
811	4433	1026
812	4438	1020
813	4443	1015
814	4448	1009
815	4452	1004
816	4458	998
817	4463	993
818	4467	987
819	4472	981
820	4478	976
821	4482	970
822	4487	965
823	4492	959
824	4497	953
825	4502	948
826	4507	942
827	4512	937
828	4517	931
829	4522	926
830	4527	920
831	4532	915
832	4537	909
833	4542	904
834	4547	898
835	4553	893
836	4558	887
837	4563	882
838	4569	876
839	4573	871
840	4579	865
841	4585	860
842	4589	854
843	4596	849
844	4601	844
845	4606	838
846	4611	832
847	4616	827
848	4620	821
849	4625	816
850	4630	810
851	4634	805
852	4639	799
853	4644	794
854	4649	788
855	4654	782
856	4658	777
857	4663	771
858	4668	766
859	4673	760
860	4678	755
861	4683	749
862	4687	744
863	4693	738
864	4698	733
865	4702	727
866	4707	722
867	4712	716
868	4717	711
869	4722	705
870	4727	700
871	4732	694
872	4737	689
873	4742	683
874	4747	678
875	4752	672
876	4757	667
877	4762	661
878	4766	656
879	4772	650
880	4776	645
881	4781	639
882	4786	634
883	4791	628
884	4796	623
885	4801	617
886	4806	612
887	4811	606
888	4816	601
889	4821	595
890	4826	590
891	4831	584
892	4836	579
893	4840	573
894	4845	568
895	4849	562
896	4854	557
897	4859	551
898	4864	546
899	4869	541
900	4874	535
901	4879	530
902	4884	524
903	4889	519
904	4893	513
905	4898	508
906	4903	502
907	4908	497
908	4912	491
909	4918	486
910	4923	480
911	4927	475
912	4935	470
913	4940	464
914	4946	459
915	4951	454
916	4957	448
917	4963	443
918	4968	437
919	4974	432
920	4980	427
921	4986	421
922	4992	416
923	4998	411
924	5003	405
925	5009	400
926	5014	394
927	5019	389
928	5025	384
929	5030	378
930	5035	373
931	5042	367
932	5047	362
933	5053	357
934	5059	351
935	5066	346
936	5071	340
937	5077	335
938	5083	330
939	5088	324
940	5093	319
941	5099	313
942	5104	308
943	5108	303
944	5113	297
945	5118	292
946	5123	286
947	5128	281
948	5132	275
949	5137	270
950	5142	264
951	5147	259
952	5151	254
953	5156	248
954	5161	243
955	5166	237
956	5171	232
957	5175	226
958	5180	221
959	5186	216
960	5190	210
961	5195	205
962	5200	199
963	5205	194
964	5210	188
965	5216	183
966	5222	178
967	5227	172
968	5232	167
969	5237	161
970	5242	156
971	5248	151
972	5252	145
973	5257	140
974	5262	134
975	5267	129
976	5272	124
977	5277	118
978	5282	113
979	5287	107
980	5292	102
981	5297	97
982	5301	91
983	5306	86
984	5311	80
985	5316	75
986	5321	70
987	5326	64
988	5332	59
989	5337	53
990	5342	48
991	5346	43
992	5351	37
993	5356	32
994	5360	26
995	5365	21
996	5370	16
997	5374	10
998	5380	5
999	5407	0
